Ticker,Sector,Industry,Company Name,HebrewIndustryName
ORTC,Industrials,Business Equipment & Supplies,O.R.T.,ציוד עסקי
ONE,Technology,Software Application,ONE TECHNOLOGIES,אפליקציות תוכנה
OPAL,Financial Services,Capital Markets,OPAL BALANCE,שוקי הון
OPCE,Utilities,Independent Power Producers,OPC ENERGY,יצרני חשמל עצמאיים
OPK,Healthcare,Diagnostics & Research,OPKO HEALTH,אבחון ומחקר
ORAD,Technology,Software Infrastructure,ORAD,תשתיות תוכנה
ORMP,Healthcare,Biotechnology,ORAMED PHARM,ביוטכנולוגיה
ORBI,Industrials,Aerospace & Defense,ORBIT,תעופה וביטחון
ORIN,Industrials,Integrated Freight & Logistics,ORIAN,שילוח ולוגיסטיקה
ORA,Utilities,Renewable Energy,ORMAT TECHNOLOGY,אנרגיה מתחדשת
ORON,Industrials,Engineering & Construction,ORON GROUP,הנדסה ובנייה
OVRS,Industrials,Integrated Freight & Logistics,OVERSEAS,שילוח ולוגיסטיקה
PLRM,Industrials,Building Products & Equipment,PALRAM,מוצרי ובציוד בנייה
PRKM,Industrials,Specialty Industrial Machinery,PARKOMAT,מכונות תעשייה ייחודיות
PTNR,Communication Services,Telecom Services,PARTNER,שירותי טלקום
PMNT,Technology,Software Infrastructure,PAYMENT FINANCES,תשתיות תוכנה
PAYT,Industrials,Electrical Equipment & Parts,PAYTON,ציוד אלקטרוני
PAZ,Energy,Oil & Gas Refining & Marketing,PAZ ENERGY,זיקוק ושיווק נפט
PCBT,Technology,Electronic Components,PCB TECHNOLOGIES,רכיבים אלקטרוניים
PEN,Financial Services,Credit Services,PENINSULA GROUP,שירותי אשראי
PERI,Communication Services,Internet Content & Information,PERION NETWORK,תוכן אינטרנטי
PTCH,Basic Materials,Chemicals,PETROCHEMICAL,כימיקלים
PTX,Energy,Oil & Gas E&P,PETROTX PARTICIPATION UNIT,חיפוש והפקת נפט וגז
PMCN,,,PHARMOCANN,קנאביס רפואי
PHOE,Financial Services,Insurance,PHOENIX,ביטוח
PHTM,Technology,Software Application,PHOTOMYNE,אפליקציות תוכנה
PLNT,Healthcare,Biotechnology,PLANT ARC,ביוטכנולוגיה
PLSN,Industrials,Building Products & Equipment,PLASSON INDUS,מוצרי ובציוד בנייה
PLCR,Consumer Cyclical,Packaging & Containers,PLASTO CARGAL,אריזות ומיכלים
PPIL,Consumer Cyclical,Packaging & Containers,PLASTOFIL,אריזות ומיכלים
PLAZ-L,Real Estate Diversified,Real Estate Diversified Development,PLAZA CENTERS,"פיתוח נדל""ן מגוון"
PLUR,Healthcare,Biotechnology,PLURI,ביוטכנולוגיה
POLI,Financial Services,Banks,POALIM,בנקים
POLY,Real Estate Diversified,Real Estate Diversified Services,POLYGON,"שירותי נדל""ן מגוונים"
POLP,Basic Materials,Specialty Chemicals,POLYRAM,כימיקלים מיוחדים
PMVM,Technology,Software Infrastructure,POMVOM,תשתיות תוכנה
PRSK,Real Estate Diversified,Real Estate Diversified Development,PRASHKOVSKY,"פיתוח נדל""ן מגוון"
PRIM,Utilities,Renewable Energy,PRIME ENERGY,אנרגיה מתחדשת
PRMG,Consumer Defensive,Household & Personal Products,PRIMOTECH,מוצרי בית ואישיים
PRTC,Technology,Electronic Components,PRIORTECH,רכיבים אלקטרוניים
PRPD,Technology,Software Application,PROPDO,אפליקציות תוכנה
PTBL,Real Estate Diversified,Real Estate Diversified,PROPERTY AND BUILDING CORP. LTD.,"נדל""ן מגוון"
PULS,Healthcare,Medical Devices,PULSENMORE,מכשור רפואי
PPBT,Healthcare,Biotechnology,PURPLE BIOTECH,ביוטכנולוגיה
QLTU,Technology,Semiconductor Equipment & Materials,QUALITAU,ציוד לשבבים
QNCO,Consumer Cyclical,Resorts & Casinos,QUEENCO,נופש וקזינו
QLRD,Technology,Software Infrastructure,QUICKLIZARD,תשתיות תוכנה
RLCO,Technology,Electronics & Computer Distribution,RALCO,אלקטרוניקה
RMN,Financial Services,Asset Management,RAM ON,ניהול נכסים
RMLI,Consumer Defensive,Grocery Stores,RAMI LEVI,סופרמרקטים
RANI,Real Estate Diversified,Real Estate Diversified,RANI ZIM,"נדל""ן מגוון"
RPAC,Technology,Communication Equipment,RAPAC,ציוד תקשורת
RATI,Energy,Oil & Gas E&P,RATIO PARTICIPATION UNIT,חיפוש והפקת נפט וגז
RTPT,Energy,Oil & Gas E&P,RATIO PETROL PARTICIPATION UNIT,חיפוש והפקת נפט וגז
BRIH,Industrials,Building Products & Equipment,RAV BARIACH,מוצרי ובציוד בנייה
RAVD,Real Estate Diversified,Real Estate Diversified Services,RAVAD,"שירותי נדל""ן מגוונים"
RVL,Consumer Cyclical,Auto Parts,RAVAL,חלקי רכב
RAYG-M,Healthcare,Drug Manufacturers,RAY TLV GROUP,יצרני תרופות
RZR,Technology,Software Infrastructure,RAZOR LABS,תשתיות תוכנה
RIT1,Real Estate Diversified,Real Estate Diversified Investment,REIT 1,"השקעות נדל""ן מגוונות"
AZRT,Real Estate Diversified,Real Estate Diversified Investment,REIT AZORIM LIVING,"השקעות נדל""ן מגוונות"
REKA,Healthcare,Drug Manufacturers,REKAH,יצרני תרופות
RTMD-L,,,RETAILMINDS,תוכנה ואינטרנט
RTLS,Consumer Cyclical,Apparel Retail,RETAILORS,קמעונאות הלבשה
RMON,Industrials,Engineering & Construction,RIMON,הנדסה ובנייה
RIMO,Basic Materials,Specialty Chemicals,RIMONI,כימיקלים מיוחדים
ROBO,Technology,Scientific & Technical Instruments,ROBOGROUP,מכשור מדעי וטכני
RTEN,Utilities,Independent Power Producers,ROTEM ENERGY PARTICIPATION UNIT,יצרני חשמל עצמאיים
ROTS,Consumer Cyclical,Residential Construction,ROTSHTEIN,בנייה למגורים
RSEL,Industrials,Aerospace & Defense,RSL,תעופה וביטחון
SRAC,Financial Services,Credit Services,S.R ACCORD,שירותי אשראי
SANO1,Consumer Defensive,Household & Personal Products,SANO,מוצרי בית ואישיים
SPNS,Technology,Software Application,SAPIENS,אפליקציות תוכנה
SRFT,Real Estate Diversified,Real Estate Diversified Development,SARFATI,"פיתוח נדל""ן מגוון"
SARN,Technology,Scientific & Technical Instruments,SARINE TECHNOLOGIES,מכשור מדעי וטכני
SVRE,Technology,Scientific & Technical Instruments,SAVERONE,מכשור מדעי וטכני
SVRT,Consumer Defensive,Packaged Foods,SAVOREAT,מזון ארוז
SHNP,Consumer Cyclical,Auto Parts,SCHNAPP,חלקי רכב
SCDX,Industrials,Specialty Industrial Machinery,SCODIX,מכונות תעשייה ייחודיות
SCOP,Industrials,Industrial Distribution,SCOPE,הפצה תעשייתית
SEMG,Healthcare,Drug Manufacturers,SEACH MEDICAL,יצרני תרופות
SLARL,Real Estate Diversified,Real Estate Diversified Investment,SELLA Real Estate Diversified,"השקעות נדל""ן מגוונות"
SHGR,Industrials,Specialty Business Services,SHAGRIR,שרותים
SHMM,Technology,Software Infrastructure,SHAMAYM,תשתיות תוכנה
SHAN,Basic Materials,Paper & Paper Products,SHANIV,נייר ומוצרי נייר
SPEN,Industrials,Engineering & Construction,SHAPIR ENGINEERING,הנדסה ובנייה
SMNR,Real Estate Diversified,Real Estate Diversified Services,SHEMEN Real Estate Diversified,"שירותי נדל""ן מגוונים"
SBEN,Utilities,Renewable Energy,SHIKN&BINUI ENERGY,אנרגיה מתחדשת
SKBN,Industrials,Engineering & Construction,SHIKUN & BINUI,הנדסה ובנייה
SHOM,Financial Services,Credit Services,SHOHAM BUSINESS,שירותי אשראי
SAE,Consumer Defensive,Grocery Stores,SHUFERSAL,סופרמרקטים
SKLN,Consumer Cyclical,Lodging,SKYLINE,אירוח
SLRM,Technology,Computer Hardware,SLRM,חומרת מחשבים
SMAG,Financial Services,Asset Management,SMART AGRO PARTICIPATION UNIT,ניהול נכסים
SOFW,Healthcare,Medical Devices,SOFWAVE,מכשור רפואי
SOLR,Technology,Solar,SOLAER,אנרגיה סולארית
SONO,Basic Materials,Specialty Chemicals,SONOVIA,כימיקלים מיוחדים
SCC,Communication Services,Telecom Services,SPACE COMMUNICATION,שירותי טלקום
SPDV,Technology,Information Technology Services,SPEEDVALUE,שירותי טכנולוגיית מידע
SPRG,Financial Services,Asset Management,SPRING,ניהול נכסים
SPNTC,Consumer Cyclical,Textile Manufacturing,SPUNTECH,ייצור טקסטיל
STG,Technology,Electronics & Computer Distribution,STG,אלקטרוניקה
STRG,Healthcare,Medical Instruments & Supplies,STORAGE DROP,ציוד רפואי
STRS,Consumer Defensive,Packaged Foods,STRAUSS GROUP,מזון ארוז
STRW,Real Estate Diversified,Real Estate Investments,STRAWBERRY INC,"השקעות בנדל""ן"
SFRN,Real Estate Diversified,Real Estate Diversified Development,SUFRIN,"פיתוח נדל""ן מגוון"
SMT,Real Estate Diversified,Real Estate Diversified Services,SUMMIT,"שירותי נדל""ן מגוונים"
SNFL,Utilities,Renewable Energy,SUNFLOWER,אנרגיה מתחדשת
SNCM,Communication Services,Telecom Services,SUNY COMMUNICATION,שירותי טלקום
STEC,Financial Services,Asset Management,SURE TECH PARTICIPATION UNIT,ניהול נכסים
SNEL,Technology,Software Application,SYNEL,אפליקציות תוכנה
TDRN,Technology,Consumer Electronics,TADIRAN GROUP,אלקטרוניקה לצרכן
TMRP,Energy,Oil & Gas E&P,TAMAR PETROLIUM,חיפוש והפקת נפט וגז
TRA,Technology,Software Application,TARYA,אפליקציות תוכנה
TATT,Industrials,Aerospace & Defense,TAT TECHNOLOGIES,תעופה וביטחון
TAYA,Communication Services,Entertainment,TAYA INVESTMENTS,בידור
TNPV,Financial Services,Asset Management,TCHNOPLS VENTURES,ניהול נכסים
TECT,Technology,Software Application,TECTONA,אפליקציות תוכנה
TEDE,Technology,Electronic Components,TEDEA,רכיבים אלקטרוניים
TFRLF,Consumer Cyclical,Apparel Manufacturing,TEFRON,ייצור הלבשה
TLSY,Technology,Electronics & Computer Distribution,TELSYS,אלקטרוניקה
TRLT,Utilities,Renewable Energy,TERALIGHT,אנרגיה מתחדשת
TRX,Consumer Cyclical,Internet Retail,TERMINAL X,קמעונאות אינטרנטית
TUZA,Financial Services,Asset Management,TEUZA,ניהול נכסים
TEVA,Healthcare,Drug Manufacturers,TEVA,יצרני תרופות
TGI,Consumer Cyclical,Auto Parts,TGI,חלקי רכב
ILCO,Basic Materials,Specialty Chemicals,THE ISRAEL CORPORATION,כימיקלים מיוחדים
TMIS,Real Estate Diversified,Real Estate Diversified Development,THEMIS,"פיתוח נדל""ן מגוון"
THES,Industrials,Security & Protection Services,THIRDEYE,שירותי אבטחה
TIGBUR,Industrials,Staffing & Employment Services,TIGBUR,שירותי השמה
TIGI,Technology,Solar,TIGI,אנרגיה סולארית
TKUN,Healthcare,Drug Manufacturers,TIKUN OLAM CANNABIS,יצרני תרופות
TTAM,Consumer Defensive,Food Distribution,TIV TAAM,הפצת מזון
TGTR,Healthcare,Drug Manufacturers,TOGETHER,יצרני תרופות
TOEN,Energy,Oil & Gas E&P,TOMER ENERGY,חיפוש והפקת נפט וגז
TNDO,Technology,Information Technology Services,TONDO SMART,שירותי טכנולוגיית מידע
TOPS,Technology,Information Technology Services,TOP SYSTEMS,שירותי טכנולוגיית מידע
TSEM,Technology,Semiconductors,TOWER,שבבים
TRAN,Technology,Software Application,TRUCKNET,אפליקציות תוכנה
TSG,Technology,Software Infrastructure,TSG,תשתיות תוכנה
TURB,Industrials,Specialty Industrial Machinery,TURBOGEN,מכונות תעשייה ייחודיות
TRPZ,Basic Materials,Specialty Chemicals,TURPAZ,כימיקלים מיוחדים
UMH,Real Estate Diversified,Real Estate Investments,UMH,"השקעות בנדל""ן"
UNCR,,,UNET CREDIT,אשראי חוץ בנקאי
UNTC,Financial Services,Asset Management,UNIC-TECH PARTICIPATION UNIT,ניהול נכסים
UNCT,Financial Services,Asset Management,UNICORN TECH PARTICIPATION UNIT,ניהול נכסים
UNIT,Technology,Scientific & Technical Instruments,UNITRONICS,מכשור מדעי וטכני
UNVO,,,UNIVO,מעטפת
UPSL,Technology,Information Technology Services,UPSELLON BRANDS,שירותי טכנולוגיית מידע
UTRN,Technology,Software Infrastructure,UTRON,תשתיות תוכנה
VRDS,Industrials,Waste Management,VERIDIS,ניהול פסולת
VCTR,Consumer Defensive,Discount Stores,VICTORY,חנויות דיסקאונט
VILR,Real Estate Diversified,Real Estate Diversified Services,VILLAR,"שירותי נדל""ן מגוונים"
VISN,Industrials,Conglomerates,VISION SIGMA,קונגלומרטים
VTNA,Real Estate Diversified,Real Estate Diversified Development,VITANIA,"פיתוח נדל""ן מגוון"
WATR,,,WATER IO,תוכנה ואינטרנט
WESR,Financial Services, Property & Casualty Insurance,WESURE GLOBALT,ביטוח מבנה ותכולה
WILK,Consumer Defensive,Farm Products,WILK,מוצרי חקלאות
WLFD,Consumer Defensive,Packaged Foods,WILLT FOOD,מזון ארוז
WILC,Consumer Defensive,Food Distribution,WILLY FOOD INTERNATIONAL,הפצת מזון
WNBZ,Real Estate Diversified,Real Estate Diversified Services,WIND BUZZ,"שירותי נדל""ן מגוונים"
XTLB,Healthcare,Biotechnology,XTL BIO,ביוטכנולוגיה
YBRD,Healthcare,Drug Manufacturers,Y.B RENEWAL,יצרני תרופות
YAAC,,,YAACOBI GROUP,בנייה
YBOX,Real Estate Diversified,Real Estate Diversified Development,YBOX,"פיתוח נדל""ן מגוון"
YHNF,Consumer Defensive,Grocery Stores,YOCHANANOF,סופרמרקטים
ZNKL,Consumer Defensive,Packaged Foods,ZANLAKOL,מזון ארוז
ZPRS,Utilities,Renewable Energy,ZEPHYRUS,אנרגיה מתחדשת
ZMH,Real Estate Diversified,Real Estate Diversified Development,ZMH,"פיתוח נדל""ן מגוון"
ZOOZ,Consumer Cyclical,Specialty Retail,ZOOZ POWER,קמעונאות ייחודית
ZUR,Financial Services, Property & Casualty Insurance,ZUR,ביטוח מבנה ותכולה
